Screen-Size,RAM,Price,Brand,Processor,GPU,GPU-Type,Resolution,Condition
14.0,8,494.99,HP,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
14.0,8,239.99,Dell,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1366 x 768,Very Good - Refurbished
15.0,8,874.95,Microsoft,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,2496 x 1664,New
12.5,8,220.0,Lenovo,Intel Core i5 4th Gen.,Intel HD Graphics 4000,Integrated Graphics,1024 x 768,Good - Refurbished
17.3,8,349.45,HP,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Very Good - Refurbished
14.0,32,789.65,Dell,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
14.0,8,599.95,HP,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,New
14.0,32,752.99,Lenovo,Intel Core i7 10th Gen.,NVIDIA GeForce GTX 1650 Ti with Max-Q Design,Dedicated Graphics,1920 x 1080,Good - Refurbished
15.0,8,650.0,Microsoft,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Dedicated Graphics,2496 x 1664,Open box
13.5,16,555.99,Microsoft,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,2256 x 1504,Excellent - Refurbished
12.5,8,220.45,Dell,Intel Core i5 6th Gen.,Intel HD Graphics,Integrated Graphics,1920 x 1080,Very Good - Refurbished
13.5,16,724.99,HP,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1200,Open box
14.0,16,269.99,Dell,Intel Core i7 8th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,Very Good - Refurbished
15.6,8,339.99,Dell,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Dedicated Graphics,1920 x 1080,Excellent - Refurbished
15.6,8,283.49,HP,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated Graphics,1024 x 768,Very Good - Refurbished
15.6,8,0.99,Lenovo,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
17.3,8,619.99,Asus,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,New
14.0,16,799.99,Dell,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Excellent - Refurbished
13.5,16,574.99,Microsoft,Intel Core i7 10th Gen.,Intel Iris Plus Graphics,Dedicated Graphics,2256 x 1504,Open box
15.6,8,700.0,Lenovo,Intel Core i5 13th Gen.,NVIDIA GeForce RTX 3050,Dedicated Graphics,1920 x 1080,New
15.6,4,384.47,Lenovo,Intel Core i3 11th Gen.,AMD Radeon Graphics,Dedicated Graphics,1920 x 1080,New
13.3,16,829.46,HP,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,3840 x 2160,New
14.0,32,99.99,Dell,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Excellent - Refurbished
14.0,16,275.0,Dell,Intel Core i7 6th Gen.,AMD FirePro M4100,Integrated Graphics,1920 x 1080,Good - Refurbished
14.0,16,393.86,Dell,Intel Core i7 10th Gen.,AMD FirePro M4100,Integrated Graphics,1024 x 768,Very Good - Refurbished
17.3,16,449.0,HP,Intel Core i3 11th Gen.,Intel® UHD Graphics,Integrated Graphics,1920 x 1080,New
15.6,8,319.0,HP,Intel Core i3 12th Gen.,Intel UHD Graphics,Integrated Graphics,1366 x 768,New
14.0,32,328.0,Lenovo,Intel Core i7 7th Gen.,Intel HD Graphics 620,Integrated Graphics,1920 x 1080,Open box
16.0,16,525.0,Lenovo,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1200,New
12.4,4,269.99,Microsoft,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated Graphics,1536 x 1024,New
14.0,8,699.0,LG,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,New
15.6,4,375.55,Lenovo,Intel Core i3 10th Gen.,Intel UHD Graphics G1,Integrated Graphics,1366 x 768,New
14.0,16,229.0,Dell,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated Graphics,1920 x 1080,Very Good - Refurbished
15.6,8,399.99,Asus,Intel Core i3 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,Open box
14.0,16,259.99,Lenovo,Intel Core i5 8th Gen.,Intel(R) UHD Graphics 620,Integrated Graphics,1920 x 1080,Very Good - Refurbished
14.0,16,215.0,HP,Intel Core i5 4th Gen.,Intel HD Graphics 4600,Integrated Graphics,1024 x 768,Good - Refurbished
14.0,16,204.0,Dell,Intel Core i5 5th Gen.,Intel HD Graphics 5500,Integrated Graphics,1920 x 1080,Good - Refurbished
13.5,8,689.95,Acer,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,2256 x 1504,New
14.0,16,344.99,Lenovo,Intel Core i7 10th Gen.,Intel(R) UHD Graphics,Integrated Graphics,1920 x 1080,Good - Refurbished
14.0,16,749.99,Dell,Intel Core i5 12th Gen.,AMD FirePro M4100,Dedicated Graphics,1920 x 1080,New
14.0,8,463.97,Dell,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1200,Open box
15.6,16,835.66,Lenovo,Intel Core i7 11th Gen.,AMD FirePro M4100,Dedicated Graphics,1024 x 768,Excellent - Refurbished
15.6,16,999.99,HP,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
13.5,8,95.46,Acer,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,2256 x 1504,New
12.4,8,574.99,Microsoft,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated Graphics,1536 x 1024,New
15.6,16,699.0,HP,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
12.5,8,184.45,Dell,Intel Core i5 6th Gen.,Intel HD Graphics,Integrated Graphics,1366 x 768,Good - Refurbished
13.5,16,499.99,Microsoft,Intel Core i5 10th Gen.,Intel HD Graphics 620,Integrated Graphics,2256 x 1504,Open box
17.3,8,650.0,Acer,Intel Core i5 12th Gen.,AMD FirePro M4100,Dedicated Graphics,1920 x 1080,Open box
15.6,16,345.95,Lenovo,AMD Ryzen 5 5000 Series,AMD Radeon Graphics,Integrated Graphics,1920 x 1080,Open box
15.6,16,699.0,Samsung,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
14.0,16,219.99,Dell,Intel Core i5 6th Gen.,AMD FirePro M4100,Integrated Graphics,1920 x 1080,Very Good - Refurbished
16.0,8,589.99,Lenovo,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,2560 x 1600,New
12.3,8,299.49,Dell,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated Graphics,1920 x 1080,Open box
15.6,8,374.99,Dell,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,Open box
14.0,16,381.99,Lenovo,Intel Core i5 10th Gen.,Intel(R) UHD Graphics,Integrated Graphics,1920 x 1080,Good - Refurbished
15.6,8,503.87,Lenovo,Intel Core i7 10th Gen.,Intel UHD Graphics 620,Integrated Graphics,1920 x 1080,Open box
14.0,16,624.95,Lenovo,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,3840 x 2400,Very Good - Refurbished
13.0,8,191.99,Microsoft,Intel Core i5 7th Gen.,Intel(R) HD Graphics 620,Integrated Graphics,2736 x 1824,Good - Refurbished
14.0,16,899.99,Dell,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Open box
14.0,16,649.99,Lenovo,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1200,Very Good - Refurbished
14.0,16,599.99,Dell,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Open box
13.5,8,844.99,Microsoft,Intel Core i5 11th Gen.,AMD FirePro M4100,Dedicated Graphics,1024 x 768,Open box
15.6,4,300.0,Lenovo,Intel Core i3 11th Gen.,Intel UHD Graphics,Dedicated Graphics,1920 x 1080,New
15.6,8,999.0,Dell,Intel Core i5 9th Gen.,AMD FirePro M4100,Dedicated Graphics,1920 x 1080,Open box
14.0,16,215.0,Dell,Intel Core i5 4th Gen.,Intel Graphics Family,Integrated Graphics,1024 x 768,Good - Refurbished
14.0,8,235.0,Dell,Intel Core i5 5th Gen.,Intel HD Graphics 5500,Integrated Graphics,1024 x 768,Good - Refurbished
15.6,16,409.99,HP,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated Graphics,1366 x 768,New
14.0,8,569.99,HP,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
16.0,16,902.68,Lenovo,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1200,New
14.0,8,823.24,Lenovo,Intel Core i5 11th Gen.,Intel Iris Xe,Integrated Graphics,1920 x 1080,New
13.3,16,879.0,Dell,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Open box
14.0,8,495.0,HP,Intel Core i5 8th Gen.,AMD RADEON PRO WX3100,Dedicated Graphics,1920 x 1080,Open box
14.0,8,408.0,Lenovo,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
15.6,8,585.98,HP,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated Graphics,1366 x 768,New
14.0,16,728.5,Lenovo,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1200,New
15.6,16,299.0,Dell,Intel Core i7 4th Gen.,AMD Radeon HD 8790M 2GB,Dedicated Graphics,1920 x 1080,Good - Refurbished
15.6,16,995.0,Lenovo,Intel Core i7 11th Gen.,NVIDIA GeForce MX450,Dedicated Graphics,1920 x 1080,New
15.6,16,950.0,Asus,Intel Core i5 6th Gen.,NVIDIA GeForce GTX 1060,Dedicated Graphics,1920 x 1080,New
15.6,8,295.0,Dell,Intel Core i7 4th Gen.,AMD Radeon HD 8790M 2GB,Dedicated Graphics,1920 x 1080,Good - Refurbished
14.0,8,325.0,Acer,Intel Core i3 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
15.6,20,449.99,HP,Intel Core i3 10th Gen.,Intel UHD Graphics,Integrated Graphics,1366 x 768,New
14.0,16,800.0,Dell,Intel Core i5 8th Gen.,Intel UHD Graphics,Dedicated Graphics,1920 x 1080,Excellent - Refurbished
15.6,8,409.99,Lenovo,Intel Core i3 11th Gen.,AMD FirePro M4100,Dedicated Graphics,1024 x 768,New
15.6,8,325.99,Asus,Intel Core i3 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,New
12.4,8,649.99,Microsoft,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1536 x 1024,New
15.6,16,499.0,Dell,Intel Core i7 10th Gen.,NVIDIA GeForce GTX 1650 Ti,Dedicated Graphics,1920 x 1080,Good - Refurbished
15.6,32,800.0,Eurocom,Intel Core i7 8th Gen.,AMD FirePro M4100,Dedicated Graphics,1920 x 1080,Open box
